"","cuid","model","rcp","period","exp_weighted","exp_simple"
"103",304,"ACCESS1-0","rcp85","mid",0.308195483572831,0.315452439699546
"104",304,"ACCESS1-0","rcp85","late",0.434889590183717,0.431595558194337
"105",304,"CanESM2","rcp45","hist",0.144323672134865,0.12427704700815
"106",304,"CanESM2","rcp45","early",0.191738673445407,0.185442465224343
"107",304,"CanESM2","rcp45","mid",0.245726594551292,0.237757456575128
"108",304,"CanESM2","rcp45","late",0.295287727393844,0.272241127548671
"109",304,"CanESM2","rcp85","hist",0.144523856806984,0.124482817455877
"110",304,"CanESM2","rcp85","early",0.19435240245021,0.184942978661271
"111",304,"CanESM2","rcp85","mid",0.281171066971521,0.261176629435269
"112",304,"CanESM2","rcp85","late",0.441931229548647,0.377597973462317
"113",304,"CCSM4","rcp45","hist",0.179841934142563,0.149216063393157
"114",304,"CCSM4","rcp45","early",0.240050094966883,0.201069000420379
"115",304,"CCSM4","rcp45","mid",0.271834658227896,0.22729890623979
"116",304,"CCSM4","rcp45","late",0.30245906328422,0.25857848890427
"117",304,"CCSM4","rcp85","hist",0.17992241175382,0.149176575829623
"118",304,"CCSM4","rcp85","early",0.263481948198161,0.228610345772842
"119",304,"CCSM4","rcp85","mid",0.323204125125685,0.276808195658426
"120",304,"CCSM4","rcp85","late",0.472826883181755,0.379420692138766
"121",304,"CNRM-CM5","rcp45","hist",0.153653259928135,0.140382130818588
"122",304,"CNRM-CM5","rcp45","early",0.174600707296098,0.170083038485745
"123",304,"CNRM-CM5","rcp45","mid",0.194832476783163,0.196544266501919
"124",304,"CNRM-CM5","rcp45","late",0.221496298147531,0.221475980345117
"125",304,"CNRM-CM5","rcp85","hist",0.153689519705411,0.140195984137932
"126",304,"CNRM-CM5","rcp85","early",0.187828973394178,0.188981123449118
"127",304,"CNRM-CM5","rcp85","mid",0.209453746459907,0.21107225396232
"128",304,"CNRM-CM5","rcp85","late",0.287267727245669,0.293549376223913
"129",304,"HadGEM2-ES","rcp45","hist",0.13631129919295,0.117870905985904
"130",304,"HadGEM2-ES","rcp45","early",0.176844282873248,0.174340055798815
"131",304,"HadGEM2-ES","rcp45","mid",0.235432447183739,0.228413269955873
