"","cuid","species_name","cu_name","cu_name_short","generation_length","incubation_start","incubation_duration_days","fw_rearing_start","fw_rearing_duration_days","ocean_entry_age_yrs","ocean_entry_peak","marine_residence_time_yrs","run_timing_start","run_timing_peak","run_timing_end","spawn_timing_start","spawn_timing_peak","spawn_timing_end"
"49",739,"Sockeye","Shuswap-Late (cyclic)","Shuswap-Late (cycl)",4,"02-Oct",230,"03-Apr",419,"1+","11-May","2+","05-Aug","22-Aug","11-Sep","02-Oct","19-Oct","05-Nov"
"50",740,"Sockeye","Kamloops-Early Summer","Kamloops-ES",4,"28-Aug",268,"16-Apr",387,"1+","25-Apr","2+","04-Aug","21-Aug","12-Sep","28-Aug","09-Sep","22-Sep"
"51",751,"Sockeye","Adams & Momich Lakes-Early Summer","Adams & Momich Lakes-ES",4,"28-Aug",265,"03-Apr",429,"1+","18-May","2+","13-Jul","03-Aug","26-Aug","28-Aug","08-Sep","19-Sep"
"52",752,"Sockeye","North Barriere-Early Summer (de novo)","N Barriere-ES (de novo)",4,"17-Aug",279,"16-Apr",401,"1+","02-May","2+","25-Jul","10-Aug","29-Aug","17-Aug","30-Aug","13-Sep"
"53",742,"Sockeye","Widgeon (river-type)","Widgeon (river-type)",4,"12-Oct",208,"11-Apr",106,"0+","05-Jul","3+","25-Jul","08-Aug","18-Sep","12-Oct","06-Nov","30-Nov"
"54",745,"Sockeye","Harrison River (river-type)","Harrison (river-type)",4,"21-Oct",199,"11-Apr",106,"0+","05-Jul","3+","25-Jul","08-Aug","18-Sep","21-Oct","14-Nov","08-Dec"
"55",780,"Steelhead","Mid Fraser Summer","Mid Fraser Summer",5,"03-May",145,"15-Jul",691,"2+","13-May","2+","20-Sep","11-Oct","17-Nov","03-May","15-May","31-May"
"56",781,"Steelhead","Thompson Summer","Thompson Summer",5,"01-May",147,"15-Jul",687,"2+","03-May","2+","20-Sep","11-Oct","17-Nov","01-May","17-May","02-Jun"
"57",782,"Steelhead","Lower Fraser Winter","Low Fraser Winter",5,"10-Apr",168,"15-Jul",691,"2+","12-May","2+","28-Nov","01-Feb","12-Apr","10-Apr","07-May","11-Jun"
"58",783,"Steelhead","Fraser Canyon Summer","Fraser Canyon Summer",5,"03-May",145,"15-Jul",691,"2+","13-May","2+","20-Sep","11-Oct","17-Nov","03-May","21-May","11-Jun"
"59",784,"Steelhead","Lower Fraser Summer","Low Fraser Summer",5,"03-May",145,"15-Jul",691,"2+","12-May","2+","21-May","24-Jul","19-Sep","03-May","21-May","11-Jun"
"60",785,"Steelhead","Boundary Bay Winter","Boundary Bay Winter",5,"10-Apr",168,"15-Jul",686,"2+","15-May","2+","28-Nov","01-Feb","12-Apr","10-Apr","07-May","11-Jun"
