"","cuid","stage","model","rcp","period","p_j","n_j"
"166",302,"marine_rearing","CCSM4","rcp85","early",0.36981981981982,1125
"167",302,"marine_rearing","CCSM4","rcp85","mid",0.470720720720721,1125
"168",302,"marine_rearing","CCSM4","rcp85","late",0.717905405405405,1125
"169",302,"marine_rearing","CNRM-CM5","rcp45","hist",0.18963963963964,1125
"170",302,"marine_rearing","CNRM-CM5","rcp45","early",0.210810810810811,1125
"171",302,"marine_rearing","CNRM-CM5","rcp45","mid",0.23536036036036,1125
"172",302,"marine_rearing","CNRM-CM5","rcp45","late",0.27992277992278,1125
"173",302,"marine_rearing","CNRM-CM5","rcp85","hist",0.18963963963964,1125
"174",302,"marine_rearing","CNRM-CM5","rcp85","early",0.21981981981982,1125
"175",302,"marine_rearing","CNRM-CM5","rcp85","mid",0.261936936936937,1125
"176",302,"marine_rearing","CNRM-CM5","rcp85","late",0.355453667953668,1125
"177",302,"marine_rearing","HadGEM2-ES","rcp45","hist",0.173423423423423,1125
"178",302,"marine_rearing","HadGEM2-ES","rcp45","early",0.215765765765766,1125
"179",302,"marine_rearing","HadGEM2-ES","rcp45","mid",0.303378378378378,1125
"180",302,"marine_rearing","HadGEM2-ES","rcp45","late",0.29969254969255,1125
"181",302,"marine_rearing","HadGEM2-ES","rcp85","hist",0.173423423423423,1125
"182",302,"marine_rearing","HadGEM2-ES","rcp85","early",0.219369369369369,1125
"183",302,"marine_rearing","HadGEM2-ES","rcp85","mid",0.284684684684685,1125
"184",302,"marine_rearing","HadGEM2-ES","rcp85","late",0.451254826254826,1125
"185",302,"marine_rearing","MPI-ESM-LR","rcp45","hist",0.17454954954955,1125
"186",302,"marine_rearing","MPI-ESM-LR","rcp45","early",0.195945945945946,1125
"187",302,"marine_rearing","MPI-ESM-LR","rcp45","mid",0.244144144144144,1125
"188",302,"marine_rearing","MPI-ESM-LR","rcp45","late",0.243484555984556,1125
"189",302,"marine_rearing","MPI-ESM-LR","rcp85","hist",0.17454954954955,1125
"190",302,"marine_rearing","MPI-ESM-LR","rcp85","early",0.213063063063063,1125
"191",302,"marine_rearing","MPI-ESM-LR","rcp85","mid",0.283333333333333,1125
"192",302,"marine_rearing","MPI-ESM-LR","rcp85","late",0.364623552123552,1125
"193",302,"adult_migration","ACCESS1-0","rcp45","hist",0,126
"194",302,"adult_migration","ACCESS1-0","rcp45","early",0,126
"195",302,"adult_migration","ACCESS1-0","rcp45","mid",0,126
"196",302,"adult_migration","ACCESS1-0","rcp45","late",0,126
"197",302,"adult_migration","ACCESS1-0","rcp85","hist",0,126
"198",302,"adult_migration","ACCESS1-0","rcp85","early",0,126
"199",302,"adult_migration","ACCESS1-0","rcp85","mid",0,126
"200",302,"adult_migration","ACCESS1-0","rcp85","late",0,126
"201",302,"adult_migration","CanESM2","rcp45","hist",0,126
"202",302,"adult_migration","CanESM2","rcp45","early",0,126
"203",302,"adult_migration","CanESM2","rcp45","mid",0,126
"204",302,"adult_migration","CanESM2","rcp45","late",0,126
"205",302,"adult_migration","CanESM2","rcp85","hist",0,126
"206",302,"adult_migration","CanESM2","rcp85","early",0,126
"207",302,"adult_migration","CanESM2","rcp85","mid",0,126
"208",302,"adult_migration","CanESM2","rcp85","late",0,126
"209",302,"adult_migration","CCSM4","rcp45","hist",0,126
"210",302,"adult_migration","CCSM4","rcp45","early",0,126
"211",302,"adult_migration","CCSM4","rcp45","mid",0,126
"212",302,"adult_migration","CCSM4","rcp45","late",0,126
"213",302,"adult_migration","CCSM4","rcp85","hist",0,126
"214",302,"adult_migration","CCSM4","rcp85","early",0,126
"215",302,"adult_migration","CCSM4","rcp85","mid",0,126
"216",302,"adult_migration","CCSM4","rcp85","late",0,126
"217",302,"adult_migration","CNRM-CM5","rcp45","hist",0,126
"218",302,"adult_migration","CNRM-CM5","rcp45","early",0,126
"219",302,"adult_migration","CNRM-CM5","rcp45","mid",0,126
"220",302,"adult_migration","CNRM-CM5","rcp45","late",0,126
"221",302,"adult_migration","CNRM-CM5","rcp85","hist",0,126
"222",302,"adult_migration","CNRM-CM5","rcp85","early",0,126
"223",302,"adult_migration","CNRM-CM5","rcp85","mid",0,126
"224",302,"adult_migration","CNRM-CM5","rcp85","late",0,126
"225",302,"adult_migration","HadGEM2-ES","rcp45","hist",0,126
"226",302,"adult_migration","HadGEM2-ES","rcp45","early",0,126
"227",302,"adult_migration","HadGEM2-ES","rcp45","mid",0,126
"228",302,"adult_migration","HadGEM2-ES","rcp45","late",0,126
"229",302,"adult_migration","HadGEM2-ES","rcp85","hist",0,126
"230",302,"adult_migration","HadGEM2-ES","rcp85","early",0,126
"231",302,"adult_migration","HadGEM2-ES","rcp85","mid",0,126
"232",302,"adult_migration","HadGEM2-ES","rcp85","late",0,126
"233",302,"adult_migration","MPI-ESM-LR","rcp45","hist",0,126
"234",302,"adult_migration","MPI-ESM-LR","rcp45","early",0,126
"235",302,"adult_migration","MPI-ESM-LR","rcp45","mid",0,126
"236",302,"adult_migration","MPI-ESM-LR","rcp45","late",0,126
"237",302,"adult_migration","MPI-ESM-LR","rcp85","hist",0,126
"238",302,"adult_migration","MPI-ESM-LR","rcp85","early",0,126
"239",302,"adult_migration","MPI-ESM-LR","rcp85","mid",0,126
"240",302,"adult_migration","MPI-ESM-LR","rcp85","late",0,126
"241",302,"spawning","ACCESS1-0","rcp45","hist",0,83
"242",302,"spawning","ACCESS1-0","rcp45","early",0,83
"243",302,"spawning","ACCESS1-0","rcp45","mid",0,83
"244",302,"spawning","ACCESS1-0","rcp45","late",0,83
"245",302,"spawning","ACCESS1-0","rcp85","hist",0,83
"246",302,"spawning","ACCESS1-0","rcp85","early",0,83
"247",302,"spawning","ACCESS1-0","rcp85","mid",0,83
"248",302,"spawning","ACCESS1-0","rcp85","late",0,83
"249",302,"spawning","CanESM2","rcp45","hist",0,83
"250",302,"spawning","CanESM2","rcp45","early",0,83
"251",302,"spawning","CanESM2","rcp45","mid",0,83
"252",302,"spawning","CanESM2","rcp45","late",0,83
"253",302,"spawning","CanESM2","rcp85","hist",0,83
"254",302,"spawning","CanESM2","rcp85","early",0,83
"255",302,"spawning","CanESM2","rcp85","mid",0,83
"256",302,"spawning","CanESM2","rcp85","late",0,83
"257",302,"spawning","CCSM4","rcp45","hist",0,83
"258",302,"spawning","CCSM4","rcp45","early",0,83
"259",302,"spawning","CCSM4","rcp45","mid",0,83
"260",302,"spawning","CCSM4","rcp45","late",0,83
"261",302,"spawning","CCSM4","rcp85","hist",0,83
"262",302,"spawning","CCSM4","rcp85","early",0,83
"263",302,"spawning","CCSM4","rcp85","mid",0,83
"264",302,"spawning","CCSM4","rcp85","late",0,83
"265",302,"spawning","CNRM-CM5","rcp45","hist",0,83
"266",302,"spawning","CNRM-CM5","rcp45","early",0,83
"267",302,"spawning","CNRM-CM5","rcp45","mid",0,83
"268",302,"spawning","CNRM-CM5","rcp45","late",0,83
"269",302,"spawning","CNRM-CM5","rcp85","hist",0,83
"270",302,"spawning","CNRM-CM5","rcp85","early",0,83
"271",302,"spawning","CNRM-CM5","rcp85","mid",0,83
"272",302,"spawning","CNRM-CM5","rcp85","late",0,83
"273",302,"spawning","HadGEM2-ES","rcp45","hist",0,83
"274",302,"spawning","HadGEM2-ES","rcp45","early",0,83
"275",302,"spawning","HadGEM2-ES","rcp45","mid",0,83
"276",302,"spawning","HadGEM2-ES","rcp45","late",0,83
"277",302,"spawning","HadGEM2-ES","rcp85","hist",0,83
"278",302,"spawning","HadGEM2-ES","rcp85","early",0,83
"279",302,"spawning","HadGEM2-ES","rcp85","mid",0,83
"280",302,"spawning","HadGEM2-ES","rcp85","late",0,83
"281",302,"spawning","MPI-ESM-LR","rcp45","hist",0,83
"282",302,"spawning","MPI-ESM-LR","rcp45","early",0,83
"283",302,"spawning","MPI-ESM-LR","rcp45","mid",0,83
"284",302,"spawning","MPI-ESM-LR","rcp45","late",0,83
"285",302,"spawning","MPI-ESM-LR","rcp85","hist",0,83
"286",302,"spawning","MPI-ESM-LR","rcp85","early",0,83
"287",302,"spawning","MPI-ESM-LR","rcp85","mid",0,83
"288",302,"spawning","MPI-ESM-LR","rcp85","late",0,83
"289",303,"eggs_alevin","ACCESS1-0","rcp45","hist",0.0315447154471545,205
"290",303,"eggs_alevin","ACCESS1-0","rcp45","early",0.0164227642276423,205
"291",303,"eggs_alevin","ACCESS1-0","rcp45","mid",0.0255284552845528,205
"292",303,"eggs_alevin","ACCESS1-0","rcp45","late",0.032442748091603,205
"293",303,"eggs_alevin","ACCESS1-0","rcp85","hist",0.0320325203252033,205
"294",303,"eggs_alevin","ACCESS1-0","rcp85","early",0.0167479674796748,205
"295",303,"eggs_alevin","ACCESS1-0","rcp85","mid",0.0304065040650407,205
"296",303,"eggs_alevin","ACCESS1-0","rcp85","late",0.0525224029206771,205
"297",303,"eggs_alevin","CanESM2","rcp45","hist",0.0258536585365854,205
"298",303,"eggs_alevin","CanESM2","rcp45","early",0.00796747967479675,205
"299",303,"eggs_alevin","CanESM2","rcp45","mid",0.0113008130081301,205
"300",303,"eggs_alevin","CanESM2","rcp45","late",0.0124460670428145,205
"301",303,"eggs_alevin","CanESM2","rcp85","hist",0.0261788617886179,205
"302",303,"eggs_alevin","CanESM2","rcp85","early",0.00804878048780488,205
"303",303,"eggs_alevin","CanESM2","rcp85","mid",0.0138211382113821,205
"304",303,"eggs_alevin","CanESM2","rcp85","late",0.0653833388649187,205
"305",303,"eggs_alevin","CCSM4","rcp45","hist",0.0533333333333333,205
"306",303,"eggs_alevin","CCSM4","rcp45","early",0.00772357723577236,205
"307",303,"eggs_alevin","CCSM4","rcp45","mid",0.011219512195122,205
"308",303,"eggs_alevin","CCSM4","rcp45","late",0.0185031530036508,205
"309",303,"eggs_alevin","CCSM4","rcp85","hist",0.0536585365853659,205
"310",303,"eggs_alevin","CCSM4","rcp85","early",0.028130081300813,205
"311",303,"eggs_alevin","CCSM4","rcp85","mid",0.0322764227642276,205
"312",303,"eggs_alevin","CCSM4","rcp85","late",0.0293727182210421,205
"313",303,"eggs_alevin","CNRM-CM5","rcp45","hist",0.035609756097561,205
"314",303,"eggs_alevin","CNRM-CM5","rcp45","early",0.0132520325203252,205
"315",303,"eggs_alevin","CNRM-CM5","rcp45","mid",0.0173983739837398,205
"316",303,"eggs_alevin","CNRM-CM5","rcp45","late",0.0127779621639562,205
"317",303,"eggs_alevin","CNRM-CM5","rcp85","hist",0.035609756097561,205
"318",303,"eggs_alevin","CNRM-CM5","rcp85","early",0.0204065040650407,205
"319",303,"eggs_alevin","CNRM-CM5","rcp85","mid",0.0166666666666667,205
"320",303,"eggs_alevin","CNRM-CM5","rcp85","late",0.046714238300697,205
"321",303,"eggs_alevin","HadGEM2-ES","rcp45","hist",0.0240650406504065,205
"322",303,"eggs_alevin","HadGEM2-ES","rcp45","early",0.00528455284552846,205
"323",303,"eggs_alevin","HadGEM2-ES","rcp45","mid",0.0252032520325203,205
"324",303,"eggs_alevin","HadGEM2-ES","rcp45","late",0.0457185529372718,205
"325",303,"eggs_alevin","HadGEM2-ES","rcp85","hist",0.0248780487804878,205
"326",303,"eggs_alevin","HadGEM2-ES","rcp85","early",0.0170731707317073,205
"327",303,"eggs_alevin","HadGEM2-ES","rcp85","mid",0.0370731707317073,205
"328",303,"eggs_alevin","HadGEM2-ES","rcp85","late",0.0896116827082642,205
"329",303,"eggs_alevin","MPI-ESM-LR","rcp45","hist",0.0171544715447155,205
"330",303,"eggs_alevin","MPI-ESM-LR","rcp45","early",0.0186178861788618,205
"331",303,"eggs_alevin","MPI-ESM-LR","rcp45","mid",0.0196747967479675,205
"332",303,"eggs_alevin","MPI-ESM-LR","rcp45","late",0.0211583139727846,205
"333",303,"eggs_alevin","MPI-ESM-LR","rcp85","hist",0.0178048780487805,205
"334",303,"eggs_alevin","MPI-ESM-LR","rcp85","early",0.0123577235772358,205
"335",303,"eggs_alevin","MPI-ESM-LR","rcp85","mid",0.0176422764227642,205
"336",303,"eggs_alevin","MPI-ESM-LR","rcp85","late",0.0299535346830402,205
"337",303,"fw_rearing","ACCESS1-0","rcp45","hist",0.0210914454277286,113
"338",303,"fw_rearing","ACCESS1-0","rcp45","early",0.0519174041297935,113
"339",303,"fw_rearing","ACCESS1-0","rcp45","mid",0.0877581120943953,113
"340",303,"fw_rearing","ACCESS1-0","rcp45","late",0.121238938053097,113
"341",303,"fw_rearing","ACCESS1-0","rcp85","hist",0.0212389380530973,113
"342",303,"fw_rearing","ACCESS1-0","rcp85","early",0.0551622418879056,113
"343",303,"fw_rearing","ACCESS1-0","rcp85","mid",0.0988200589970502,113
